dyn_window_months,dyn_quantile,pe_window_years,band,base_position,trend_sensitivity,cheap_threshold,expensive_threshold,max_weight,period_years,start_date,end_date,total_return,annualized_return,volatility,sharpe_ratio,max_drawdown,calmar_ratio,benchmark_return,benchmark_ann_return,benchmark_volatility,benchmark_sharpe,benchmark_max_dd,excess_return,num_trades,avg_position
60,0.2,12,0.1,0.5,0.3,0.2,0.85,1.2,20,2006-01-31,2026-01-31,0.5675000939437234,0.022921716599736408,0.1054880586772092,0.027697131185974205,-0.3107286924614987,0.07376762158060624,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05460332387771727,77,0.327326621116872
36,0.2,12,0.05,0.5,0.3,0.25,0.85,1.2,20,2006-01-31,2026-01-31,0.5696651244980808,0.02299290651936703,0.109379939925309,0.02736248092118865,-0.2940371394988992,0.07819728677320066,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05453213395808665,100,0.33501814247744194
60,0.2,12,0.08,0.5,0.3,0.25,0.85,1.2,20,2006-01-31,2026-01-31,0.5681363673318363,0.022942648043554614,0.10995293962140881,0.026762795553140938,-0.305221708226602,0.07516715693931438,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05458239243389906,82,0.33939346944092297
36,0.2,12,0.05,0.5,0.3,0.25,0.75,1.2,20,2006-01-31,2026-01-31,0.562094338450738,0.022743557655440227,0.1035964040433253,0.02648313598117592,-0.28365810126385693,0.08017947505854704,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05478148282201345,98,0.30986486675062486
48,0.25,12,0.05,0.5,0.3,0.25,0.85,1.2,20,2006-01-31,2026-01-31,0.5665822492180062,0.02289150810418561,0.10936296794674977,0.026439554069102453,-0.2940371394988992,0.07785243776754708,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05463353237326807,101,0.331987039415046
84,0.15,12,0.1,0.5,0.3,0.2,0.85,1.2,20,2006-01-31,2026-01-31,0.5635443797444426,0.022791404446799612,0.10585346725557261,0.026370458324809002,-0.3107286924614987,0.07334824559088188,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.054733636030654065,76,0.32898552546452337
36,0.2,12,0.08,0.5,0.3,0.2,0.75,1.2,20,2006-01-31,2026-01-31,0.5576171243867467,0.022595557101511732,0.09895156717468133,0.026230581036980834,-0.29227526696973727,0.0773091658961732,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.054929483375941945,79,0.29251693775117943
60,0.2,5,0.1,0.5,0.3,0.25,0.85,1.2,20,2006-01-31,2026-01-31,0.5522926104291077,0.02241902109152183,0.092344498888706,0.026195616638054895,-0.31378434745691275,0.0714472256924807,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05510601938593185,76,0.2738560143182987
60,0.2,12,0.08,0.5,0.3,0.25,0.8,1.2,20,2006-01-31,2026-01-31,0.5641425016044848,0.02281112830872778,0.10741495254430382,0.026170735471565894,-0.2999665027266093,0.0760455854283101,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.0547139121687259,85,0.33006270272435817
36,0.15,12,0.05,0.5,0.3,0.25,0.75,1.2,20,2006-01-31,2026-01-31,0.5624174754617401,0.022754223809093643,0.10528435078529962,0.02615985935754284,-0.3015118813918537,0.07546708840810683,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.054770816668360034,100,0.31804769214041345
48,0.25,12,0.05,0.5,0.3,0.25,0.75,1.2,20,2006-01-31,2026-01-31,0.559923358644836,0.022671843266267144,0.1035833154810902,0.025794147000005093,-0.28365810126385693,0.07992665524182559,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05485319721118653,99,0.3071351061009598
48,0.25,12,0.08,0.5,0.3,0.2,0.75,1.2,20,2006-01-31,2026-01-31,0.5556451840282957,0.022530243679843354,0.098940347937456,0.025573426135946254,-0.29227526696973727,0.07708570045434661,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.054994796797610324,80,0.2900353371605748
